ID,condition,condition_label,laplong,whichtalk,whichtalklabel,obj_raw,open_raw,obj_rawZ,open_rawZ,obj_index,open_index,obj_indexZ,open_indexZ,obj_index_prop,open_index_prop,wordcount,pltrigrams,ltrigrams,ptrigrams,threegramspercentl,threegramspercentp,relatedknowledge,laptopornotebook,betterlorn,lornchoicedepends,timereviewingnotes,otherthoughts,studyabout,year,concentration,gender_coded,race_ethnicity_coded,NFC_1,NFC_2,NFC_3R,NFC_4R,NFC_5R,NFC_6,NFC_7R,NFC_8R,NFC_9R,NFC_10,NFC_11,NFC_12R,NFC_13,NFC_14,NFC_15,NFC_16R,NFC_17R,NFC_18,NFC,values.completed,values.rspan,values.totalcorrectletters,values.sentencetotalerrors,values.sentencespeederrors,values.sentenceaccerrors,typingwpm,typingacc
13,1,longhand,-.5,1,islam,9.85714285714286,4.23076923076923,.60875753661769,.894507975761732,5.14285714285714,2.92307692307692,.468884313697962,.813644703865639,.73469387755102,.974358974358974,316,24,2863,314,.8382815228781,7.64331210191083,1,I take notes in a notebook because I feel like I can write faster than I can type and I am less prone to making mistakes when I'm writing than when I'm typing. I also tend to remember things I learn more easily from writing them than from typing them.,7,No I always take notes in a notebook.,I like to go through them thoroughly in order to make flashcards or work on practice problems (depending on the test) so probably around 2-3 hours.,-99,Effective note taking and being able to actually learn what you are writing in your notes without having to look back through them.,2019,Geological Sciences,2,4,2,3,3,2,3,1,-2,-3,0,3,2,3,2,2,1,2,-1,2,25,0,61,72,1,0,1,55,97
14,1,longhand,-.5,4,indus,4,1.06666666666667,-1.62501117261168,-2.60687324149104,3.6,1.06666666666667,-1.09039580844725,-2.75965625573516,.6,.266666666666667,160,16,3011,158,.53138492195284,10.126582278481,0,"Notebook because it helps me remember things better. Also, I tend to have to write a lot of formulas so it is easier to handwrite them.",7,"No, I always handwrite my notes.",I read over my notes at least 3 times.,When I take notes on my laptop I get distracted more easily.,The experimenters could have done a better job of presenting it and running it.,2018,Economics,1,4,2,4,2,2,1,1,-1,1,1,1,2,2,2,1,2,-1,1,-1,22, , , , , , ,57,98
15,1,longhand,-.5,2,inequalities,1.41666666666667,1.25,-2.03229430204618,-1.93506650277555,1.41666666666667,1,-2.33441258319285,-1.75082869654215,.283333333333333,.2,63,7,2456,61,.285016286644951,11.4754098360656,2,"Notebook, because I like to write things down",7,No,an hour,no,How people learn and remember things,2020,Economics,2,1,0,2,-1,-1,3,-1,-3,-4,-4,1,3,4,1,3,2,4,1,0,10, , , , , , ,38,96
16,0,laptop,.5,4,indus,8.4,5.33333333333333,.497523527914889,.576256190224336,4.93333333333333,3.26666666666667,.231296080579722,.227407447152195,.822222222222222,.816666666666667,328,46,3011,326,1.52773165061441,14.1104294478528,0,neither,7,"more likely to use notebook for math and science because of symbols, graphs, etc",very little if any time,notebook is better because writing helps you remember,if taking notes helps you remember info and whether laptops or notebooks are better for taking notes,2017,cognitive and brain sciences,1,4,1,0,2,1,2,-1,-1,2,-1,2,3,4,2,3,1,1,0,2,23,0,33,43,3,0,3,46,97
17,1,longhand,-.5,1,islam,10.1538461538462,3,.721393322175947,-.215232380629438,5.46153846153846,2.5,.724966446429074,.14872043525846,.78021978021978,.833333333333333,133,7,2863,131,.244498777506112,5.34351145038168,1,"Notebook; Visual aspects of notes on a page helps me recall information, and I'm slow at typing.",5,Yes - computer can be more helpful in my CS classes since I write code by hand less often / must recall it on a laptop.,A few hours - I study by recopying my notes by hand.,"Digital notetaking is useful for diagrams, and rearranging / resizing things",Notebook vs laptop note taking --&gt; information recall,2017,Computer Science,1,4,3,2,1,1,0,-1,2,3,-1,0,1,-1,2,2,2,0,2,1,19,0,37,61,1,0,1,70,98
18,1,longhand,-.5,1,islam,8,2.78571428571429,-.0962590470617702,-.408446103393973,4.78571428571429,2.35714285714286,.181895716671715,-.0757994476478599,.683673469387755,.785714285714286,180,10,2863,178,.349283967865875,5.61797752808989,1,"Yes- My handwriting is bad and I can't keep up with my brain. When I type, I have a much easier time with this. Additionally, I love having the ability to go through and reorganize my notes, or add things that I missed or forgot, with ease.",4,"I only choose to take notes by hand when they consist of symbols that are not easy to type, i.e. chemical structures, or complex equations.",10 hours,There is certainly an increased tendency to multitask when taking notes on a laptop.,"Memory with regards to note-taking, multitasking.",2017,Psychology,2,4,3,3,-2,2,3,1,3,0,-1,4,4,2,3,3,4,0,1,3,36, , , , , , ,-99,-99
19,1,longhand,-.5,1,islam,8.75,3.5,.188459188654935,.235599639154475,6,2.35714285714286,1.15765694656095,-.0757994476478599,.857142857142857,.785714285714286,192,11,2863,190,.384212364652462,5.78947368421053,1,I normally take notes in a notebook. It is easier for me to write than it is to type also it is easier to draw out diagrams in a notebook,6,"No, always notebook",At least a few hours reading through notes,Not really,The relationship between note taking and learning,2019,Undecided,2,4,2,3,2,1,1,0,1,-1,1,0,1,1,2,1,2,1,1,1,20,0,72,74,0,0,0,55,99
20,0,laptop,.5,5,algorithms,4.76923076923077,2.07692307692308,.22013359753462,-.699194765483056,3,1.61538461538462,-.286434398140916,-.901744602989847,.428571428571429,.538461538461538,380,70,2428,378,2.8830313014827,18.5185185185185,0,"I usually take notes on my laptop. In order to keep up with the lecture, I can't use a notebook because I don't write fast enough.",1,"Yes! I will use a notebook if I am taking a math course. Otherwise, I mainly use my laptop.",I spend a long time reviewing notes and powerpoints.,"I find taking notes on a laptop to be much easier, but a laptop can definitely be distracting as well.",To study students ability to take notes and how much information they are able to retain from those notes after being introduced to new information. The experiment explores short term memory and how much information we transfer into long term memory during our note taking.,2019,Clinical Psychology,1,2,-2,2,3,2,3,0,1,-3,-3,2,4,4,2,2,3,-2,1,-2,17,0,50,66,7,1,6,90,97
21,0,laptop,.5,1,islam,10.9992307692308,2.78571428571429,1.04232187710175,-.408446103393973,4.91666666666667,2.71428571428571,.287124868914672,.48550025961794,.702380952380952,.904761904761905,343,50,2863,341,1.74641983932937,14.6627565982405,4,"Notebook. I don't take many notes, So I don't like making word documents and files that have very little actual information on them.",6,"No when I do take notes its always in a book, subject matter doesnt change anything",about 2 hours,"I think that keyboards are too intuitive, they are too easily distracting from one's actual thoughts. most people stop actually listening and are fully immersed in the act of typing when they take notes on a computer.",The effects of prolonged note taking on the brain,2019,History,2,4,3,3,2,-3,1,-3,2,-3,-2,2,3,3,1,3,1,-3,2,3,15,0,55,72,4,1,3,55,95
22,0,laptop,.5,3,ideas,1.08333333333333,3.83333333333333,-1.68216698824103,-.0669158244824932,1.08333333333333,3.08333333333333,-1.53595049891961,.0299454131891037,.180555555555556,.770833333333333,361,55,2981,359,1.8450184501845,15.3203342618384,0,"Laptop; I can type more quickly and get information down more accurately. It stresses me out to write in notebooks, because I cannot summarize things quickly enough and then i forget the important points, and then by the time I remember what I wanted to write down, the professor has moved onto another topic and then I am lost.",1,"Yes; I take notes using a laptop for humanities, and I use a notebook for science and math.",75% of my studying is based on note review; the other 25% is based on class readings and other quiz review,"I believe that professors should not restrict students to purely laptop note-taking or notebook note-taking. I know that there is research to support the claim that notebook note-taking helps with retention and overall learning, but I believe that this really varies depending on the subject and the type of learner that the student is.","There were probably two conditions, one for note taking by handwriting on a notebook, and note taking using a laptop during the ted talk. I think the sentence/letter remembering exercise was just a distraction, and the questions at the end were used to gauge how much we remembered of the Ted Talk.",2017,"Spanish, Psychology",1,-99,3,3,3,3,3,2,2,-2,3,3,3,4,1,1,3,3,3,1,42,0,58,67,2,1,1,113,98
23,0,laptop,.5,3,ideas,4.91666666666667,4.5,.975876780911947,.799053668820349,4,2.91666666666667,.915251080457606,-.292995317281611,.666666666666667,.729166666666667,129,27,2981,127,.905736330090574,21.259842519685,3,Notebook because many of my notes are equations and math problems and drawings.,6,No,Two hours,-,I feel like I retained a fair amount of the TED talk but not necessarily the specific questions that were asked. I guess I have a big picture understanding of the concepts discussed.,2017,Mechanical Engineering,1,4,2,3,1,1,1,0,1,1,-1,2,2,1,0,-1,2,1,2,1,19,0,28,59,4,1,3,50,98
24,0,laptop,.5,5,algorithms,4.07692307692308,4.46153846153846,-.335351841728746,1.80509246228295,3.15384615384615,3,-.157801024597576,1.31858880625874,.450549450549451,1,91,5,2428,89,.205930807248764,5.61797752808989,1,no,7,no,not that much,-99,how my taking notes helps me recall information,2019,Math and Computer Science double major,1,4,3,3,2,2,2,-1,2,-1,0,2,3,3,4,3,1,4,4,3,39, , , , , , ,50,98
25,0,laptop,.5,4,indus,10,6.66666666666667,1.26935432810637,1.57098413763539,5,3.93333333333333,.29738067503107,1.13257826620897,.833333333333333,.983333333333333,230,28,3011,228,.929923613417469,12.280701754386,1,in a notebook. I think it helps me remember the info better to physically write it down,6,nope,~5-6 hours,I think that you should figure out what works best for you and just do that,whether students who take notes on a laptop will remember information better or worse than students who take notes by hand,2018,Cognitive and Brain Science,2,4,1,1,-1,1,1,-2,1,-1,2,1,0,1,1,1,1,1,1,0,10,0,27,54,1,0,1,87,98
26,0,laptop,.5,3,ideas,3.33333333333333,3.5,-.122010862868629,-.499900571133915,2.41666666666667,2.66666666666667,-.415401205490026,-.777406412987682,.402777777777778,.666666666666667,163,38,2981,161,1.27474002012747,23.6024844720497,2,"No, because I feel like I retain more information for longer time if I handwrite my notes.",7,Yes.,Around four hours the night before.,No,I think it's about how well we retain info from lectures in college when we write our notes on a laptop.,2018,FMS,1,5,3,4,4,4,4,2,2,0,-1,4,4,4,2,4,4,-4,2,1,43,0,53,65,3,1,2,57,98
27,1,longhand,-.5,2,inequalities,4,.833333333333333,-.770407684091934,-2.24648905625808,4,.833333333333333,.515247346083399,-1.9193064716058,.8,.166666666666667,49,0,2456,47,0,0,0,"yes, cuz ppl forget things. Sometime for concentrating on lecture",4,"humanities are faster & easy to modify using laptop,
math / science are faster taking notes by hand.",80% time,no,dunno,2019,CS & IR,1,2,4,4,4,2,2,1,-3,3,4,4,4,4,4,4,4,-1,-2,4,46,0,31,46,22,8,14,64,96
28,0,laptop,.5,3,ideas,3,3.83333333333333,-.35314510366454,-.0669158244824932,2.91666666666667,3.83333333333333,.00480477954606859,1.48317870030732,.486111111111111,.958333333333333,176,31,2981,174,1.03991949010399,17.816091954023,0,Both. Drawing circuits/ writing equations is easier on notebook,5,Yes,2 hours,Saving notes to a cloud app makes them accessible anywhere.,Psych. of note-taking,2017,Computer Engineering,2,1,3,2,1,2,1,-1,-1,-2,-1,0,2,3,0,0,1,2,2,1,15,0,23,45,6,4,2,57,95
29,1,longhand,-.5,2,inequalities,6.33333333333333,3,.369360874060287,-.627091778148916,5,2,1.61834151225485,-.739962046160241,1,.4,77,1,2456,75,.0407166123778502,1.33333333333333,0,Notebook,7,Nope,"None, I usually do practice problems",-99,How to promote learning in lectures,2019,Electrical Engineering,2,4,4,4,2,1,3,2,3,-2,3,4,4,-1,1,1,4,2,4,2,41, , , , , , ,51,94
30,1,longhand,-.5,5,algorithms,4,3.92307692307692,-.397072446091342,1.23960824956159,2.15384615384615,2.53846153846154,-.993917952629284,.578477669842545,.307692307692308,.846153846153846,117,9,2428,115,.370675453047776,7.82608695652174,1,"Notebook, because I get distracted on my laptop easily. Also, I feel that you retain more when you write in a notebook because you don't have time to transcribe everything in lecture, you have to think about what the most important things being said are and write those down. In this way your notes are most concise, relevant, and you retain more. I have read studies that reflect this which also convinced me.",7,"No, but I feel that it is significantly harder to take notes for math/science/comp sci courses on a laptop because equations and mathematical syntax are easier to write on paper.",3-4 hrs,nope!,"how people can retain information through different modes of information, and how we manage retention when we are focusing on one thing vs multiple",2020,computer science,1,3,1,1,1,2,2,2,2,0,2,2,3,4,3,3,3,1,2,1,35,0,53,62,1,0,1,54,97
31,1,longhand,-.5,3,ideas,.545454545454545,2.58333333333333,-2.05513360407079,-1.69060862442532,.545454545454545,2.08333333333333,-1.98799027070086,-1.90769896963518,.0909090909090909,.520833333333333,227,27,2981,225,.905736330090574,12,0,"when I can I take notes on a laptop because I have more time to write down everything, and writing in a notebook hurts my hand.",1,"Yes. I take more hand notes in classes where there are diagrams so for math and science courses, humanities where it is mostly just writing I like to take laptop notes.",1 or 2 hours.,nope,great,2018,Biopsychology,1,4,3,3,0,2,2,0,1,1,0,4,3,2,1,1,1,4,1,2,31, , , , , , ,62,96
32,0,laptop,.5,4,indus,8.8,5.86666666666667,.690481227962759,.974147369188758,6,3.86666666666667,1.2886495918013,1.04206118430329,1,.966666666666667,334,29,3011,332,.963135171039522,8.73493975903614,0,"I usually take notes on a laptop, because it's easier to type up what someone is saying, especially if they are talking quickly.  It also saves paper and allows me to easily condense my notes if I need to study for a test or write an essay.",3,Yes.  In math courses or science courses involving math I will hand write the notes because it is easier to write equations/solve problems by hand.  There is also less information to write down in a math lecture compared to a humanities lecture.,"I usually spend about 5 hours reviewing notes when studying for a test.  Although I type my notes, when I study for a test I always hand-write my notes because it helps me absorb and remember them better.","I like writing in a notebook, but it saves time and paper writing with a laptop, and it makes the information easier to condense in the form of the essay or to access when I want to study for a test.","I think you asked participants to either take notes by computer or by hand and then had both groups perform mental ""games"" before answering questions about the lecture to see if they better absorbed the information by hand-writing their notes or typing their notes.",2019,Clinical Psychology,1,4,1,2,2,1,3,1,1,1,1,2,3,3,3,3,2,-3,1,3,30,0,33,59,2,0,2,63,98
33,0,laptop,.5,1,islam,12.5714285714286,3.21428571428571,1.63916638968767,-.0220186578649041,5.85714285714286,2.92857142857143,1.04286150775045,.82228008397742,.836734693877551,.976190476190476,203,28,2863,201,.97799511002445,13.9303482587065,1,Notebook- I find that I remember my notes better if I write them by hand. I also get distracted on a laptop.,5,"Sort of- I use a notebook for all of my classes, but while I would be open to the notion of using my laptop to take notes in humanities and science courses, I would never use a laptop to take notes for math.",About an hour- but I usually transfer my notes to a quizlet which I may study for 2-3 hours.,It is much easier to take notes on a laptop when it is in Airplane Mode.,"I think you gave half the people laptops and half the people notebooks, and you want to see whether handwritten or typed notes lead to more accuracy when tested.",2020,"International Relations, Environmental Studies",1,4,-2,2,0,-1,1,-1,-1,-2,-2,1,1,1,1,1,1,-1,1,1,1,0,52,63,1,0,1,44,97
34,1,longhand,-.5,3,ideas,6,3.75,1.72706306349866,-.175162011145349,5,3,1.75566305052979,-.131524952046254,.833333333333333,.75,351,36,2981,349,1.20764844012076,10.3151862464183,1,"On a notebook - laptops are distracting, writing helps you remember better, and you can doodle in a notebook. Plus, it's helpful to have a concrete object that represents all your knowledge from one class that can't crash or run out of battery.",7,"No, I always take notes in a notebook.","I generally start the night before - I would say between 2 and 5 hours, depending on the subject and importance.","Laptop notetaking can be speedier and neater and is easier to share with friends, but I personally prefer notebooks. I find it easier to remember when I write things down.",Different modes of taking notes and information recall.,2018,Computer Science and English,1,4,-99,-99, , , ,-99, , , ,-99,-99, ,-99,-99,-99, , ,-99, , , , , , , , , 
35,0,laptop,.5,4,indus,9.53333333333333,5.46666666666667,1.04423701138385,.675728984965442,5.73333333333333,3.6,1.0243112139959,.679992856680581,.955555555555556,.9,364,51,3011,362,1.69378943872468,14.0883977900552,1,Depends. In smaller classes and classes that foster more discussion I take notes in my notebook because it helps me stay present. I take notes on my laptop after class sometimes because it is easier.,5,"Well, for math it is easier and makes more sense to use a notebook because you would be writing equations and diagrams. For economics I much prefer a notebook because I am constantly drawing graphs in class. Other classes, such as history or political science, having a laptop might be better if the class is going through a lot of information at once and also having a laptop makes it very easy to research a topic mentioned in class.",A long time.,No.,Learning and memory and brain cognition.,2017,IR and econ,1,4,0,2,2,0,1,1,1,-2,0,2,2,3,1,1,-99,1,2,2,20.1176470588235,0,24,49,3,1,2,81,99
36,1,longhand,-.5,4,indus,7,5,-.177828422252656,.327574203371572,4.26666666666667,3,-.429549863933762,-.134660880470514,.711111111111111,.75,184,16,3011,182,.53138492195284,8.79120879120879,1,"Notebook, because I tend to recall things when I write things down.",5,"I'm not allowed to take notes on a laptop in my humanities courses, like anthropology. I also can't use it during psychology classes. Science and math courses usually allow a laptop.",A few hours,I like notebooks,Finding out whether writing notes on a notebook significantly helps with recalling information and strengthening mental skills,2020,Cognitive and Brain Sciences,1,2,2,2,3,2,3,3,-2,1,2,3,2,3,1,2,3,-2,2,3,33, , , , , , ,76,99
37,1,longhand,-.5,2,inequalities,4.91666666666667,2.75,-.322641464817847,-.813945310238435,3,2,-.587846820088053,-.739962046160241,.6,.4,83,7,2456,81,.285016286644951,8.64197530864197,2,"Notebook because I want to be less distracted and I feel that when I write things down, I remember them better. Also I have more control over placement of text and diagrams",7,"Yes. In one of my computer science classes I take notes on my laptop, but that's only because there is nothing significant about the class that it warrants a section in my notebook.","For midterms and finals, i spend 3-5 hours.",-99,I was told it's about how we retain information but I also think it's trying to see what methods of note taking people choose depending on their inclinations to think a certain way,2019,Computer Science,1,2,3,3,3,3,1,2,-2,0,4,4,3,4,3,4,4,-1,1,1,40,0,75,75,5,0,5,102,98
38,0,laptop,.5,5,algorithms,2.41666666666667,3.23076923076923,-1.66748821922145,.51255711891985,1.5,2.30769230769231,-1.54060979018848,.208422101634446,.214285714285714,.769230769230769, , , , , , ,0,"I take them in a notebook. It's been proven that writing is better for memorizing things. In addition, I use different colored pencils and highlighters that help with notetaking. On a computer, it's harder to do Cornell notes, which have also been proven to be a very good way to take notes.",6,"Nope; I have found that taking notes in a notebook works better for me. Also, many classes don't allow the use of technology.",2 hours. I also spend a lot of time rewatching lectures if they are available and making study guides.,Nope.,"Note-taking strategies. I had to watch a lecture and take notes on a laptop, and tasks were given to me in between to both test my memory and see how well I can ""multitask"" but also to give time between testing my memory of the video after my notes and watching the video to test how effective my method of taking notes was.",2019,biopsychology,1,2,-1,1,1,1,0,1,2,1,-2,-2,2,2,-2,-1,1,3,2,3,12,0,48,60,2,0,2,88,98
39,1,longhand,-.5,3,ideas,3.91666666666667,3.5,.282474058524215,-.499900571133915,3.08333333333333,2.91666666666667,.144873441224767,-.292995317281611,.513888888888889,.729166666666667,190,24,2981,188,.80509896008051,12.7659574468085,3,"Depends on the instructor; laptop for powerpoint lectures, notebook for chalkboard lectures. If the instructor uses powerpoints, it is difficult to follow the speed of the material in a notebook. However, if the instructor writes on the chalkboard him/herself, then following is much easier if I also write in my notebook.",4,"As previously mentioned, it depends mostly on the instructor's teaching style. The type of course does not seem to make that big of a difference.",2-3 hours,"I don't think either way really makes all the difference when it comes down to studying; it's more of how much effort I put in during the lectures to understand the material as I take it in, and also how much outside review I do in my own time.",The way we take notes; how memory exercises impact performance on questions related to the lecture; how wording of the question affects performance on questions,2018,"Economics, philosophy",1,2,1,1,2,0,-1,-2,-2,-2,-2,0,0,-1,-1,1,0,1,-1,1,-5,0,57,71,3,0,3,83,98
42,0,laptop,.5,2,inequalities,5.81818181818182,3,.117723659922784,-.627091778148916,3.09090909090909,2,-.487565532254285,-.739962046160241,.618181818181818,.4,277,39,2456,275,1.58794788273616,14.1818181818182,2,Usually in a notebook because I generally remember details from lecture when I write them by hand. If the professor talks really fast I'll use a laptop because I can type faster than I can write.,5,I pretty much only take humanities courses.,Probably 80% of my studying is spent reviewing notes--I often rewrite concepts or vocab that I want to remember.,-99,Memory from notetaking on a computer,2018,American Studies and Political Science,1,4,1,1,1,0,1,-4,3,-1,-1,2,4,3,-1,4,3,1,2,2,21,0,69,74,1,0,1,74,97
43,1,longhand,-.5,5,algorithms,7,3.76923076923077,2.01003112404991,1.07804133164121,5.16666666666667,2.53846153846154,1.52515227926112,.578477669842545,.738095238095238,.846153846153846,129,13,2428,127,.535420098846788,10.2362204724409,0,Both. Depends on if a class allows laptops,6,No,A day or two,-99,If writing down notes compared to typing them actually helps us retain information,2019,Political Science and CBS,1,2,2,1,0,2,2,1,-1,2,0,3,2,2,0,-1,1,2,-1,0,17,0,69,74,3,1,2,74,99
44,1,longhand,-.5,2,inequalities,5.91666666666667,6,.165830774390248,1.61515060692531,2.75,4.66666666666667,-.863620361630916,1.95568235485818,.55,.933333333333333,70,4,2456,68,.162866449511401,5.88235294117647,2,"Laptop, I have terrible handwriting and it's easier to organize my notes when I can easily move information around retroactively",2,Not really,3-4 hours,"Laptops definitely more conducive to distraction, but their utility means that I rarely take notes in a notebook anymore","Seeing the relative success of note taking strategies with success at answer questions on the topic in question. Then, comparing these strategies with the ability to complete memorization tasks.",2019,Biology,2,4,2,2,3,3,3,2,4,-1,2,2,2,2,2,3,3,1,3,-1,37,0,50,62,29,27,2,57,95
